Area,Feature / Integration,Open source / external source,Status,Implementation depth,What is actually wired,Key evidence,Test evidence,Gaps / risks,Verdict
tasks,"Task execution plan creation (single vs discussion, critic, synthesis)",Internal RAIL orchestration,Implemented,Production path,"Creates participantRoleIds, primaryRoleId, criticRoleId, orchestrationSummary, and adaptive-orchestrator flags before task execution.",src/pages/tasks/taskExecutionPolicy.ts#L52; src/pages/tasks/taskExecutionPolicy.ts#L71,src/pages/tasks/taskExecutionPolicy.test.ts#L4,Still depends on upstream orchestration inputs and role metadata quality.,Good implementation of core task planning behavior.
tasks,Orchestrator-first default for untagged prompts,Internal RAIL orchestration,Implemented,Production path,"For non-quick, untagged prompts, discussion mode and adaptive orchestrator are preferred automatically.",src/pages/tasks/taskExecutionRuntime.ts#L16; src/pages/tasks/taskExecutionRuntime.ts#L54,src/pages/tasks/taskExecutionRuntime.test.ts#L103,Still seeded by heuristic plan generation before orchestrator refinement.,Mostly matches requested UX direction.
tasks,Adaptive orchestrator with full enabled-agent context,Internal RAIL orchestration,Implemented,Production path,Enabled agent list plus per-agent summary/strengths/limits/useWhen are passed into the orchestrator prompt before brief runs.,src/app/main/runtime/taskCollaborationOrchestrator.ts#L59; src/pages/tasks/taskAgentPresets.ts#L205,src/app/main/runtime/runTaskCollaborationWithCodex.test.ts#L243; src/pages/tasks/taskAgentPresets.test.ts#L79,JSON-plan parsing is still a hard contract and can fail closed to fallback heuristics.,"This is a real implementation, not just prompt wording."
tasks,Regex/rule intent inference fallback,Internal heuristic layer,Still present,Fallback + seeding logic,Prompt intent and primary-role seeds still use regex/keyword heuristics before orchestration.,src/pages/tasks/taskPromptOrchestration.ts#L41; src/pages/tasks/taskPromptOrchestration.ts#L126,src/pages/tasks/taskPromptOrchestration.test.ts#L4,This is the main place where the system is still rule-heavy instead of purely orchestrator-first.,Partially aligned; not yet pure orchestrator-first.
tasks,Unity Refactor Specialist agent,Custom agent added to RAIL,Implemented,Preset + prompt pack + runtime registration,Agent exists in TS presets and Tauri task prompt packs/resources with alias/refactor role behavior.,src/pages/tasks/taskAgentPresets.ts#L50; src-tauri/src/task_presets.rs#L43; src-tauri/src/task_prompt_packs.rs#L68,src/pages/tasks/taskAgentPresets.test.ts#L79,Effectiveness depends on prompt quality; not a separate engine.,Successfully added as a real task agent.
tasks,Task role execution can use web-backed models,Web providers + internal runtime bridge,Implemented,Production path,Task role execution routes to web_provider_run when the selected thread model is web-backed instead of always starting a Codex thread.,src/app/main/runtime/runTaskRoleWithCodex.ts#L636; src/app/main/runtime/runTaskRoleWithCodex.ts#L650,src/app/main/runtime/runTaskRoleWithCodex.test.ts#L122,Tasks still do not expose WEB/STEEL and WEB/LIGHTPANDA in the task model dropdown.,Real behavior change; properly wired for AI GPT/Gemini/Grok/Perplexity/Claude.
tasks,Collaboration stages preserve selected web-backed runtime,Internal runtime bridge,Implemented,Production path,Brief/orchestrate/critique/final stages can keep using the selected web-backed thread model rather than forcing Codex stage models.,src/app/main/runtime/runTaskCollaborationWithCodex.ts#L20; src/app/main/runtime/runTaskCollaborationWithCodex.ts#L108,src/app/main/runtime/runTaskCollaborationWithCodex.test.ts#L325,Still separate from direct external CDP providers in tasks model menu.,Implemented and tested.
workflow/runtime,Web AI worker automation (GPT/Gemini/Grok/Perplexity/Claude),Internal web_worker automation over provider websites,Implemented,Production path,"Standard web providers run through web worker bridge commands (provider/run, openSession, resetSession, cancel).",src-tauri/src/engine/mod.rs#L1870; scripts/web_worker/index.mjs#L1706,Indirect via src/app/main/runtime/runTaskRoleWithCodex.test.ts#L122,Relies on bridge/browser automation stability and website behavior.,This part is genuinely present and is the current web-AI path.
workflow/runtime,Scrapling bridge,scrapling,Implemented,Production path with install/start/health/fetch,"Dedicated bridge server, auto-install/start/health/fetch commands, role knowledge integration, and dashboard crawl integration.",src-tauri/src/dashboard_crawler.rs#L189; src-tauri/src/dashboard_crawler.rs#L239; scripts/scrapling_bridge/server.py#L184,Behavior is covered indirectly through role knowledge pipeline tests.,Rust-side provider branch lacks focused unit tests.,One of the most complete external integrations in the repo.
workflow/runtime,Crawl4AI document extraction provider,crawl4ai,Implemented,Production path for role knowledge/document-style fetch,"Python fetch script exists, provider health/install/fetch path exists, and role knowledge prefers/falls back across crawl4ai and scrapling.",scripts/crawl_providers/crawl4ai_fetch.py#L59; src-tauri/src/crawl_providers.rs#L560; src/app/main/runtime/roleKnowledgePipeline.ts#L161,src/app/main/runtime/roleKnowledgePipeline.test.ts#L262,Not used as the universal fetch layer; concentrated in role knowledge/provider routing.,Properly integrated for the intended document-extraction slice.
workflow/runtime,Steel external provider,steel self-host browser,Partially integrated,External provider branch,"Health and fetch path exist via CDP, and engine routes external provider runs to the external path when provider is steel.",src-tauri/src/crawl_providers.rs#L691; src-tauri/src/crawl_providers.rs#L782; src-tauri/src/engine/mod.rs#L177; src-tauri/src/engine/mod.rs#L1880,src/features/workflow/domain.webProviders.test.ts#L9,Requires environment configuration; no strong dedicated Rust tests found; not exposed in tasks runtime model menu.,"More than a stub, but not fully surfaced everywhere."
workflow/runtime,Lightpanda experimental provider,lightpanda browser,Partially integrated,Experimental external provider branch,Health/fetch path exists as external provider and workflow domain recognizes the executor label.,src-tauri/src/crawl_providers.rs#L692; src-tauri/src/crawl_providers.rs#L783; src/features/workflow/domain.ts#L89,src/features/workflow/domain.webProviders.test.ts#L9,Experimental only; not surfaced in tasks model menu; limited test evidence.,"Scaffold plus runnable branch, but still clearly experimental."
workflow/runtime,Browser Use provider,browser-use,Registry slot only,Scaffold,"Provider appears in capability registry and runtime preference ordering, but health/fetch explicitly report not wired yet.",src-tauri/src/crawl_providers.rs#L695; src-tauri/src/crawl_providers.rs#L790; scripts/research_storage.py#L1085,No direct execution test found.,Not actually executable yet despite being referenced in ordering metadata.,Not a completed integration.
research,scrapy-playwright batch collection path,scrapy + scrapy-playwright,Partially integrated,Batch/dynamic research path only,Dynamic research jobs can choose scrapy_playwright strategy and execute a helper batch collector through via runtime server_impl.,scripts/research_storage.py#L1048; scripts/research_storage.py#L1085; scripts/via_runtime/server_impl.py#L1087; scripts/via_runtime/scrapy_playwright_batch.py#L73,scripts/tests/test_research_storage.py#L225; scripts/tests/test_research_storage.py#L419,Not wired as a general crawl-provider fetch API; concentrated in research_storage pipeline.,"Real integration, but scope-limited to research batch collection."
tasks/research,Researcher pre-collection and dataset injection,Internal research_storage + via runtime,Implemented,Production path,Researcher role can plan/execute collection jobs and inject resulting context into the role prompt before answer generation.,src/app/main/runtime/researcherCollection.ts#L593; src/app/main/runtime/runTaskRoleWithCodex.ts#L593,src/app/main/runtime/runTaskRoleWithCodex.test.ts#L286,Quality depends on collection planning and provider availability.,"A meaningful business-logic integration, not just UI."
tasks/workflow UX boundary,WEB / STEEL and WEB / LIGHTPANDA surfaced to users,steel / lightpanda executors,Not exposed in tasks menu,"Runtime exists, menu does not","Workflow domain knows executors, but tasks model dropdown only exposes Codex + AI GPT/Gemini/Grok/Perplexity/Claude options.",src/features/workflow/domain.ts#L89; src/features/workflow/runtimeModelOptions.ts#L8; src/pages/tasks/TasksThreadComposer.tsx#L239,src/features/workflow/domain.webProviders.test.ts#L9,User cannot directly choose these from tasks composer even though runtime code exists.,Important product gap between backend capability and surfaced UX.
